time-sec,depth-m,ODBA
13971,0.79456,0.668563185
13972,0.77504,0.677752231
13973,0.75688,0.629963079
13974,0.74032,0.799889466
13975,0.72232,0.783915173
13976,0.70424,0.466930999
13977,0.69728,0.714606588
13978,0.7,0.640281541
13979,0.70768,0.542797094
13980,0.72008,0.437859192
13981,0.7352,0.748106488
13982,0.74624,0.604900389
13983,0.76152,0.472533529
13984,0.78176,0.408514888
13985,0.79608,0.664139304
13986,0.80608,0.46595161
13987,0.8128,0.322662624
13988,0.81152,0.340451909
13989,0.80632,0.405935125
13990,0.80592,0.420905015
13991,0.80968,0.344567733
13992,0.81728,0.494761677
13993,0.82896,0.329810147
13994,0.84432,0.443800898
13995,0.85744,0.510646447
13996,0.8624,0.433090097
13997,0.85296,0.556292522
13998,0.83464,0.889878183
13999,0.8088,0.488425755
14000,0.77896,0.432180975
14001,0.748,0.273203718
14002,0.72504,0.555884779
14003,0.70792,0.573629882
14004,0.69472,0.505465378
14005,0.69032,0.381591415
14006,0.698,0.346170519
14007,0.71472,0.350955947
14008,0.74216,0.565737338
14009,0.7776,0.441241514
14010,0.81824,0.428885556
14011,0.8644,0.384928672
14012,0.91192,0.388820091
14013,0.96016,0.294193598
14014,1.01224,0.265932222
14015,1.066,0.304098267
14016,1.11792,0.393105079
14017,1.17024,0.469302469
14018,1.22088,0.254019188
14019,1.26296,0.46169426
14020,1.29424,0.551570262
14021,1.31528,0.490545972
14022,1.32992,0.371861511
14023,1.34056,0.167022684
14024,1.352,0.209266043
14025,1.36808,0.38723878
14026,1.38656,0.270436335
14027,1.4104,0.300454572
14028,1.43392,0.367119135
14029,1.4576,0.27755516
14030,1.4812,0.243719367
14031,1.5116,0.304723592
14032,1.54248,0.348550572
14033,1.57192,0.39980449
14034,1.59896,0.396151288
14035,1.62072,0.331281702
14036,1.6328,0.351243908
14037,1.63632,0.38391962
14038,1.63168,0.349816163
14039,1.62056,0.359628597
14040,1.60536,0.417134123
14041,1.58856,0.231972736
14042,1.57864,0.421336149
14043,1.58056,0.355243908
14044,1.59672,0.203093069
14045,1.62344,0.388111251
14046,1.65584,0.412008647
14047,1.6836,0.335751298
14048,1.708,0.637559188
14049,1.72624,0.576327736
14050,1.73688,0.80577906
14051,1.73944,0.621302003
14052,1.73056,0.661413202
14053,1.7096,0.622224464
14054,1.68288,0.288508206
14055,1.65296,0.301909478
14056,1.61768,0.307313041
14057,1.5828,0.595065889
14058,1.55016,0.443912
14059,1.5156,0.47061572
14060,1.484,0.549494992
14061,1.45976,0.696322322
14062,1.44408,0.490535731
14063,1.43336,0.385625606
14064,1.4264,0.208829258
14065,1.42368,0.209780466
14066,1.43056,0.257275688
14067,1.44192,0.499344867
14068,1.45664,0.38126759
14069,1.47664,0.259821989
14070,1.4948,0.331653614
14071,1.5028,0.237429597
14072,1.50312,0.214501611
14073,1.49976,0.233215962
14074,1.49856,0.305867417
14075,1.50032,0.363559935
14076,1.50688,0.341294059
14077,1.51672,0.355926551
14078,1.524,0.269100738
14079,1.51696,0.227970277
14080,1.50376,0.387049148
14081,1.4872,0.306855759
14082,1.46808,0.311409144
14083,1.44864,0.387598401
14084,1.43816,0.461665412
14085,1.43232,0.35156118
14086,1.4352,0.658733244
14087,1.44888,0.362708784
14088,1.47032,0.237818794
14089,1.48896,0.395260908
14090,1.49904,0.373607816
14091,1.49912,0.269246162
14092,1.49048,0.333479945
14093,1.47712,0.255832337
14094,1.46576,0.328590538
14095,1.46024,0.616373695
14096,1.4548,0.680483326
14097,1.44944,0.575217905
14098,1.44568,0.431415793
14099,1.44456,0.390878848
14100,1.44464,0.331856556
14101,1.45712,0.288332978
14102,1.48368,0.272424757
14103,1.52096,0.174159204
14104,1.55768,0.292092418
14105,1.5932,0.239646085
14106,1.61496,0.517696183
14107,1.62296,0.202103089
14108,1.62288,0.256658924
14109,1.62528,0.386101052
14110,1.63256,0.344679603
14111,1.64992,0.261593768
14112,1.67472,0.343273445
14113,1.7064,0.37576504
14114,1.73808,0.162628407
14115,1.76824,0.356868206
14116,1.79312,0.237792466
14117,1.81344,0.292095453
14118,1.82792,0.258963062
14119,1.83896,0.277586916
14120,1.84656,0.576245548
14121,1.85072,0.265242839
